Ligand_Name,Best_Score,Second_Score,Third_Score
bupranolol_433,-9.698,-9.522,-8.970
buprenorphine_434,-16.083,-15.221,-15.128
bupropion_435,-9.524,-8.851,-8.700
buramate_3049,-8.379,-7.523,-7.488
buserelin_436,-20.006
buspirone_437,-13.653,-13.025,-12.546
busulfan_438,-7.124,-7.083,-6.772
butacaine_3050,-11.844,-10.654,-10.374
butacetin_3690,-8.382,-8.076,-7.851
butalamine_440,-12.352,-11.588,-11.036
butalbital_441,-9.089,-9.071,-8.358
butamben_3051,-8.550,-7.987,-7.470
butamirate_442,-11.693,-11.259,-11.070
butamisole_5654,-10.324,-9.849,-9.407
butanilicaine_3691,-9.866,-9.518,-9.452
butaperazine_443,-14.123,-13.543,-13.338
butaverine_3692,-11.478,-10.830,-10.671
butazolamide_3693,-7.962,-7.953,-7.176
