Ligand_Name,Best_Score,Second_Score,Third_Score
calcipotriene_465,-15.382,-14.902,-14.417
boceprevir_4172,-15.375,-15.092,-13.908
estradiolcypionate_1059,-15.374,-15.325,-14.223
bufogenin_3523,-15.372,-14.575,-14.020
fluperolone_3237,-15.371,-14.507,-14.412
sitosterol_2451,-15.365,-15.325,-15.204
sultamicillin_2539,-15.365,-14.529,-13.331
calcifediol_464,-15.362,-15.264,-14.818
odevixibat_5468,-15.356,-15.294,-15.104
mazipredone_3331,-15.355,-14.728,-12.875
perfluamine_2101,-15.354,-15.333,-15.323
fluprednideneacetate_3238,-15.339,-14.704,-14.207
silodosin_4151,-15.334,-14.964,-14.419
macimorelin_5271,-15.328,-14.972,-14.705
suxibuzone_2547,-15.323,-14.960,-14.698
acalabrutinib_5260,-15.318,-15.218,-15.160
tetragalacturonicacidhydroxymethylester_4729,-15.314,-15.257,-15.060
oxetacaine_3407,-15.305,-14.581,-13.608
triparanol_2761,-15.305,-14.526,-14.373
eribulin_4171,-15.303,-15.287,-15.283
halcinonide_4507,-15.291,-15.242,-14.704
betamethasoneacetate_349,-15.290,-14.617,-14.322
belotecan_296,-15.286,-15.194,-13.849
estradiolbenzoate_1058,-15.285,-15.188,-14.413
serdexmethylphenidate_5448,-15.285,-14.398,-12.653
cefalexinpivoxil_2217,-15.282,-14.733,-14.313
cinnoxicam_655,-15.278,-15.113,-14.495
prednicarbate_2243,-15.278,-14.956,-14.804
chenodiol_4361,-15.277,-14.200,-13.848
dehydrocholicacid_794,-15.275,-14.535,-14.207
trospium_2776,-15.272,-14.793,-14.739
cholicacid_3096,-15.271,-14.549,-14.214
triamcinoloneacetonide_2726,-15.271,-15.039,-14.468
benzethonium_3018,-15.270,-14.499,-13.796
ursodiol_2797,-15.270,-14.201,-13.875
dexamethasoneacetate_826,-15.269,-14.309,-14.287
flutropium_1228,-15.264,-14.910,-14.322
scarletred_3543,-15.261,-14.581,-14.083
estramustinephosphate_1066,-15.255,-14.322,-14.068
budesonide_419,-15.254,-14.989,-14.286
solasulfone_3551,-15.250,-15.204,-15.003
antrafenine_3677,-15.244,-14.984,-14.597
sacubitril_5012,-15.243
estriolsuccinate_1067,-15.241,-15.168,-14.504
tivozanib_5258,-15.240,-13.629
hydrocortisoneprobutate_4569,-15.232,-15.080,-15.054
arterolane_5090,-15.227,-13.718,-13.401
simeprevir_4812,-15.226,-15.100,-14.376
nirmatrelvir_5520,-15.221,-14.338,-14.100
vibegron_5311,-15.215,-13.233,-12.436
clascoterone_5410,-15.203,-13.844,-13.786
deoxycholicacid_4988,-15.202,-14.320,-14.053
alcuronium_109,-15.200,-15.012,-14.951
melinamide_1674,-15.197,-15.099,-14.663
alfacalcidol_130,-15.193,-14.925,-13.966
benexate_3015,-15.191,-13.159,-12.796
rupatadine_2413,-15.190,-14.624,-14.340
edatrexate_986,-15.189,-14.553
dichlorisone_3139,-15.183,-14.436,-14.045
pirozadil_2212,-15.182,-12.687,-12.640
oxatomide_2014,-15.181,-14.206,-14.026
fazadinium_4535,-15.178,-15.145,-14.529
mibefradil_1797,-15.176,-14.354,-13.470
rescinnamine_2369,-15.175,-14.063,-13.879
telaprevir_4173,-15.167,-14.677,-14.543
fluocortinbutyl_3234,-15.166,-14.378,-12.720
aripiprazole_242,-15.164,-15.112,-14.265
amtolmetinguacil_204,-15.161
obeticholicacid_5155,-15.161,-14.950,-14.807
